Name,Age,Hometown,Job,Eliminated,season,"Skin (0=white, 1= Black)",Bachelor Age
Kacie Boguskie[24],25,"Clarksville, Tennessee",Administrative Assistant,3,17,0,29
Brooke Burchette[25],25,"Pittsburgh, Pennsylvania",Community Organizer,2,17,1,29
Diana Weeks Willardson[26],31,"Sandy, Utah",Salon Owner,2,17,0,29
"Katherine ""Katie"" Levans[27]",27,"Woodstock, Illinois",Yoga Instructor,2,17,0,29
Ashley Harper[28],25,"Garner, North Carolina",Fashion Model,1,17,1,29
Ashley Palenkas[29],28,"Macomb, Michigan",Hair Stylist,1,17,0,29
Kelly Dutton[30],28,"Chattanooga, Tennessee",Cruise Ship Entertainer,1,17,0,29
Keriann Miranda[31],29,"Agoura Hills, California",Entrepreneur,1,17,0,29
Lacey Latka[14],24,"Stevenson Ranch, California",Graduate Student,1,17,0,29
Lauren Marchetti[32],27,"Cranston, Rhode Island",Journalist,1,17,0,29
Paige Vigil,25,"Minnetonka, Minnesota",Jumbotron Operator,1,17,0,29
*Nikki Ferrell*[6][7],26,"*Kearney, Missouri*",*Pediatric Nurse*,11,18,0,32
Clare Crawley[8],32,"Sacramento, California",Hairstylist,10,18,0,32
Andi Dorfman[9],26,"Buckhead, Georgia",Assistant District Attorney,9,18,0,32
Renee Oteri[10],32,"Sarasota, Florida",Real Estate Agent,8,18,0,32
Chelsie Webster[11],24,"Lexington, Ohio",Science Educator,7,18,0,32
Sharleen Joynt[12][13],29,"Ottawa, Ontario",Opera Singer,7,18,0,32
"Kathleen ""Kat"" Hurd[14]",29,"Iowa City, Iowa",Medical Sales Rep,6,18,0,32
Cassandra Ferguson[15],22,"Rochester Hills, Michigan",Former NBA Dancer,6,18,0,32
"Allison ""Alli"" Restko[13]",26,"Orland Park, Illinois",Nanny,5,18,0,32
Danielle Ronco[16],25,"Litchfield, Illinois",Psychiatric Nurse,5,18,1,32
Kelly Travis[9][13],27,"Conyers, Georgia",Dog Lover,5,18,0,32
Elise Mosca[17],27,"Forty Fort, Pennsylvania",First Grade Teacher,4,18,0,32
Lauren Solomon[18],26,"Clinton, Michigan",Music Composer,4,18,0,32
Christy Hansen[19],24,"Aurora, Illinois",Marketing Manager,3,18,0,32
"Lucinda ""Lucy"" Aragon[13]",25,"Santa Barbara, California",Free Spirit,3,18,0,32
Amy Long[20],27,"Clermont, Florida",Local News Reporter,2,18,0,32
Chantel Forrest[21],27,"Miami, Florida",Account Manager,2,18,1,32
Victoria Lima[13],24,"Porto Alegre, Brazil",Legal Assistant,2,18,0,32
Alexis Morgado[13][22],24,"Tampa, Florida",Communications Director,1,18,0,32
Amy Jokinen[13],31,"Apopka, Florida",Massage Therapist,1,18,0,32
Ashley Poe[13],25,"Roanoke, Texas",Grade School Teacher,1,18,0,32
Christine Llano[13][23],23,"Miami, Florida",Police Support Specialist,1,18,0,32
Kylie Lewis[13][24],23,"Rockford, Illinois",Interior Designer,1,18,0,32
Lacy Faddoul[13][21],25,"Antelope Acres, California",Nursing Home Owner,1,18,0,32
Lauren Higginson[13],25,"Edmond, Oklahoma",Mineral Coordinator,1,18,0,32
Maggie Gantt[13][25],25,"Wagener, South Carolina",Personal Banker,1,18,0,32
Valerie Eredia[13][26],26,"Sutter, California",Personal Trainer,1,18,0,32
*Whitney Bischoff*[6][7],29,"*Louisville, Kentucky*",*Fertility Nurse*,11,19,0,33
Becca Tilley[9][10],25,"Shreveport, Louisiana",Chiropractic Assistant,10,19,0,33
Kaitlyn Bristowe[11],29,"Leduc, Alberta",Dance Instructor,9,19,0,33
Jade Roper[7][13],28,"Gering, Nebraska",Cosmetics Developer,8,19,0,33
Carly Waddell[3],29,"Arlington, Texas",Cruise Ship Singer,7,19,0,33
Britt Nilsson[7][13],27,"Wolcott Mills, Michigan",Waitress,7,19,0,33
Megan Bell[6],24,"Brentwood, Tennessee",Make-Up Artist,6,19,0,33
Kelsey Poe[7][16],28,"Hudsonville, Michigan",Guidance Counselor,6,19,0,33
Ashley Iaconetti[7][18],26,"Great Falls, Virginia",Journalist,6,19,0,33
Mackenzie Deonigi[6],21,"Maple Valley, Washington",Dental Assistant,5,19,0,33
Samantha Steffen[13][19],27,"Indianapolis, Indiana",Fashion Designer,5,19,0,33
